id,detail_attributes
102663,Pressure Rating:350 PSI at 70째F 175 PSI at 250째F
115105,"Size:2""|Color Code:red dot|Color:Black"
115113,"Size:3""|Color Code:no dot|Color:White"
115146,"Size:1-1/2""|Color Code:three green dots|Color:Black"
115147,"Size:2""|Color Code:three green dots|Color:Black"
115150,"Size:4""|Color Code:three green dots|Color:Black"
115154,"Size:1-1/2""|Color Code:no dot|Color:White"
115155,"Size:2""|Color Code:no dot|Color:White"
106879,Finish:Polished|Wall Thickness:.065
106891,Finish:Polished|Wall Thickness:.065
106904,Finish:Polished|Wall Thickness:.065
106911,Finish:Unpolished|Wall Thickness:.065
106947,Finish:Polished|Wall Thickness:.065
106651,Maximum Temperature:230째F ( 110째C )
