file_name,catalog_number,attribute_name,attribute_value
1%20(333),110072,Stroke Length (in),0.178
1%20(334),110073,Stroke Length (in),0.178
1%20(335),110074,Stroke Length (in),0.178
1%20(336),110075,Stroke Length (in),0.178
1%20(337),110076,Stroke Length (in),0.288
1%20(338),110077,Stroke Length (in),0.288
1%20(339),110078,Stroke Length (in),0.288
1%20(34),110157,Length (in),4.687
1%20(34),110157,Height (in),7.75
1%20(34),110157,Width (in),1.82
1%20(340),110132,Thread Size,1-5/16-16 UNF
1%20(340),110132,Length (in),3.312
1%20(340),110132,Stroke Length (in),1
1%20(349),201029,Thread Size,1-12 UNF
1%20(349),201029,Width (in),0.562
1%20(35),9503,Length (in),3.75
1%20(35),9503,Port Size,1/4 NPTF
1%20(35),9503,Height (in),5.42
1%20(35),9503,Width (in),2.66
1%20(350),201884,Thread Size,1/2-13 UNC
1%20(351),216207,Thread Size,1-5/16-16 UN
1%20(351),216207,Width (in),0.719
1%20(354),400000,Port Size,1/2-13UNC
1%20(354),400000,Height (in),1.75
1%20(354),400000,Width (in),1.875
1%20(355),400001,Port Size,5/8-11UNC
1%20(355),400001,Height (in),1.875
1%20(355),400001,Width (in),2
1%20(356),400002,Port Size,3/4-10UNC
1%20(356),400002,Height (in),2
1%20(356),400002,Width (in),2
1%20(357),400003,Port Size,1-12UNF
1%20(357),400003,Height (in),2.5
1%20(357),400003,Width (in),2.5
1%20(358),400013,Height (in),2.5
1%20(358),400013,Width (in),3
1%20(359),400015,Height (in),3
1%20(359),400015,Width (in),4.5
1%20(36),9504,Length (in),3.75
1%20(36),9504,Port Size,1/4 NPTF
1%20(36),9504,Height (in),5.562
1%20(36),9504,Width (in),2.66
1%20(360),500097,Length (in),1.2
1%20(361),500098,Length (in),1.39
1%20(362),500099,Length (in),1.39
1%20(363),500100,Length (in),1.2
1%20(364),500101,Length (in),1.39
1%20(365),500102,Length (in),1.39
1%20(366),500103,Length (in),1.39
1%20(367),500160,Thread Size,10-32 UNF
1%20(368),500161,Thread Size,10-32 UNF
1%20(368),500161,Length (in),0.63
1%20(369),500162,Thread Size,10-32 UNF
1%20(37),9573,Length (in),12.062
1%20(37),9573,Port Size,1/4 NPTF
1%20(37),9573,Height (in),5.812
1%20(37),9573,Width (in),3.375
1%20(370),500163,Thread Size,5/16-24 UNF
1%20(371),500164,Thread Size,5/16-24 UNF
1%20(371),500164,Length (in),0.63
1%20(372),500165,Thread Size,5/16-24 UNF
1%20(373),100043B,Stroke Length (in),0.5
1%20(374),100044B,Stroke Length (in),1
1%20(375),100049B,Stroke Length (in),0.5
1%20(376),100050B,Stroke Length (in),1
1%20(377),100055B,Thread Size,5/16-24 UNF
1%20(377),100055B,Length (in),2.5
1%20(377),100055B,Stroke Length (in),0.5
1%20(377),100055B,Port Size,1/8 NPT
1%20(377),100055B,Height (in),2.312
1%20(377),100055B,Width (in),1.5
1%20(378),100056B,Thread Size,5/16-24 UNF
1%20(378),100056B,Length (in),2.5
1%20(378),100056B,Stroke Length (in),1
1%20(378),100056B,Port Size,1/8 NPT
1%20(378),100056B,Height (in),2.812
1%20(378),100056B,Width (in),1.5
1%20(379),100061B,Thread Size,5/16-24 UNF
1%20(379),100061B,Length (in),3
1%20(379),100061B,Stroke Length (in),0.5
1%20(379),100061B,Port Size,1/8 NPT
1%20(379),100061B,Height (in),2.812
1%20(379),100061B,Width (in),2.5
1%20(38),9574,Length (in),12.062
1%20(38),9574,Port Size,1/4 NPTF
1%20(38),9574,Height (in),5.812
1%20(38),9574,Width (in),3.375
1%20(380),100062B,Thread Size,5/16-24 UNF
1%20(380),100062B,Length (in),3
1%20(380),100062B,Stroke Length (in),1
1%20(380),100062B,Port Size,1/8 NPT
1%20(380),100062B,Height (in),3.312
1%20(380),100062B,Width (in),2.5
1%20(381),100141,Stroke Length (in),0.75
1%20(382),100143,Stroke Length (in),0.295
1%20(383),100176,Stroke Length (in),0.375
1%20(384),100177,Stroke Length (in),0.375
1%20(385),100207,Stroke Length (in),0.295
1%20(386),100226,Stroke Length (in),0.75
1%20(387),100229,Stroke Length (in),0.375
1%20(388),100269,Stroke Length (in),0.375
1%20(389),100844,Stroke Length (in),0.68
1%20(39),9611,Length (in),12.062
1%20(39),9611,Port Size,1/4 NPTF
1%20(39),9611,Height (in),5.812
1%20(39),9611,Width (in),3.375
1%20(390),100847,Stroke Length (in),0.68
1%20(391),100873,Thread Size,1-1/4-16 UNF
1%20(391),100873,Stroke Length (in),0.312
1%20(392),100874,Thread Size,1-1/4-16 UNF
1%20(392),100874,Stroke Length (in),0.312
1%20(393),100875,Thread Size,1-1/4-16 UNF
1%20(393),100875,Stroke Length (in),0.312
1%20(394),100876,Thread Size,1-1/4-16 UNF
1%20(394),100876,Stroke Length (in),0.312
1%20(395),100877,Thread Size,1-1/4-16 UNF
1%20(395),100877,Stroke Length (in),0.312
1%20(396),100882,Thread Size,2-1/4-16 UN
1%20(396),100882,Stroke Length (in),0.5
1%20(397),100883,Thread Size,2-1/4-16 UN
1%20(397),100883,Stroke Length (in),0.5
1%20(398),100884,Thread Size,2-1/4-16 UN
1%20(398),100884,Stroke Length (in),0.5
1%20(399),100885,Thread Size,2-1/4-16 UN
1%20(399),100885,Stroke Length (in),0.5
1%20(4),100983,Length (in),6.189
1%20(40),9612,Length (in),6.125
1%20(40),9612,Port Size,1/8 NPTF
1%20(40),9612,Height (in),5.812
1%20(40),9612,Width (in),3.375
1%20(400),100926,Stroke Length (in),0.75
1%20(401),100998,Stroke Length (in),0.75
1%20(402),110085,Stroke Length (in),0.375
1%20(403),110086,Stroke Length (in),0.375
1%20(404),110087,Stroke Length (in),1.18
1%20(405),110088,Stroke Length (in),1.18
1%20(406),110122,Thread Size,1-1/4-16 UNF
1%20(406),110122,Stroke Length (in),0.312
1%20(407),110123,Thread Size,2-1/4-16 UN
1%20(407),110123,Stroke Length (in),0.5
1%20(408),110124,Thread Size,1-1/4-16 UNF
1%20(408),110124,Stroke Length (in),0.312
1%20(409),110125,Thread Size,2-1/4-16 UN
1%20(409),110125,Stroke Length (in),0.5
1%20(41),100154,Length (in),3.75
1%20(41),100154,Height (in),6.047
1%20(41),100154,Width (in),2.656
1%20(410),110134,Thread Size,1-1/4-16 UNF
1%20(410),110134,Stroke Length (in),0.312
1%20(411),110135,Stroke Length (in),1.18
1%20(412),110136,Stroke Length (in),0.68
1%20(413),110139,Thread Size,2-1/4-16 UN
1%20(413),110139,Stroke Length (in),0.5
1%20(414),110140,Stroke Length (in),0.5
1%20(415),110141,Thread Size,2-1/4-16 UN
1%20(415),110141,Stroke Length (in),0.5
1%20(416),110142,Stroke Length (in),0.5
1%20(42),100969,Length (in),1.948
1%20(42),100969,Port Size,7/16-20UNF SAE-4
1%20(42),100969,Height (in),4.444
1%20(42),100969,Width (in),2
1%20(420),100236,Thread Size,1/4 NPT
1%20(421),100238,Thread Size,1/4 NPT
1%20(422),100878,Thread Size,1/4 NPT
1%20(423),100917,Thread Size,1/8 NPT
1%20(424),100232,Length (in),2.938
1%20(425),100233,Length (in),7.688
1%20(43),100970,Length (in),1.948
1%20(43),100970,Port Size,1/4 NPTF
1%20(43),100970,Height (in),4.444
1%20(43),100970,Width (in),2
1%20(431),100845,Length (in),3.188
1%20(432),100857,Length (in),2.1
1%20(433),100919,Length (in),2.1
1%20(434),9614,Length (in),3.75
1%20(434),9614,Width (in),2.5
1%20(435),36105,Length (in),4
1%20(435),36105,Width (in),2
1%20(436),100941,Length (in),4
1%20(436),100941,Width (in),2
1%20(437),100944,Length (in),3.75
1%20(437),100944,Width (in),2.5
1%20(438),100265,Thread Size,1/4 NPTF
1%20(438),100265,Length (in),2.4
1%20(439),100266,Thread Size,1/4 NPTF
1%20(439),100266,Length (in),1.9
1%20(44),100971,Length (in),1.948
1%20(44),100971,Height (in),4.187
1%20(44),100971,Width (in),2
1%20(440),100267,Thread Size,1/4 NPTF
1%20(440),100267,Length (in),1.19
1%20(441),100907,Thread Size,1/4 NPTF
1%20(441),100907,Length (in),1.72
1%20(442),100908,Thread Size,1/4 NPTF
1%20(442),100908,Length (in),1.79
1%20(443),100909,Thread Size,1/4 NPTF
1%20(443),100909,Length (in),2.97
1%20(45),100972,Thread Size,7/16-20UNF SAE-4 Port A and B 7/16-20UNF SAE-4 Port P and T
1%20(45),100972,Length (in),2
1%20(45),100972,Height (in),0.904
1%20(45),100972,Width (in),1.948
1%20(451),100281,Thread Size,1/4 NPTF
1%20(452),100282,Thread Size,1/4 NPTF
1%20(453),100283,Thread Size,1/4 NPTF
1%20(454),100285,Thread Size,1/4 NPTF
1%20(455),100286,Thread Size,1/4 NPTF
1%20(456),100287,Thread Size,1/4 NPTF
1%20(46),100973,Thread Size,1/4 NPTF
1%20(46),100973,Length (in),2
1%20(46),100973,Height (in),0.904
1%20(46),100973,Width (in),1.948
1%20(463),10479,Thread Size,1/4 NPTF
1%20(466),10655,Thread Size,1/4 NPTF
1%20(468),10661,Thread Size,1/4 NPTF
1%20(469),10665,Thread Size,1/4 NPT
1%20(47),100974,Length (in),2
1%20(47),100974,Height (in),0.904
1%20(47),100974,Width (in),1.948
1%20(470),10669,Thread Size,1/4 NPTF
1%20(471),10670,Thread Size,1/4 NPTF
1%20(475),11628,Tube Dia (in),0.375
1%20(48),100975,Thread Size,3/4-16 UNF SAE-8 Port A and B 7/8-14UNF SAE-10 Port P and T
1%20(48),100975,Length (in),4.25
1%20(48),100975,Height (in),3
1%20(48),100975,Width (in),3
1%20(482),15050,Thread Size,1/8 NPTF
1%20(483),15052,Thread Size,1/8 NPTF
1%20(484),15053,Thread Size,1/8 NPTF
1%20(486),15055,Thread Size,1/8 NPTF
1%20(490),15061,Thread Size,1/8 NPTF
1%20(493),15499,Thread Size,1/8 NPTF
1%20(494),16232,Thread Size,3/8 NPTF
1%20(499),100169,Length (in),0.844
1%20(5),500149,Thread Size,1/8 NPTF
1%20(5),500149,Length (in),3.4
1%20(500),110048,Thread Size,1/4 NPTF
1%20(500),110048,Length (in),1.63
1%20(501),110049,Thread Size,7/16-20 UNF SAE-4
1%20(501),110049,Length (in),1.44
1%20(502),205790,Thread Size,1/4 NPTF
1%20(503),205791,Thread Size,1/4 NPTF
1%20(504),205792,Thread Size,1/4 NPTF
1%20(505),205793,Thread Size,1/4 NPTF
1%20(506),206330,Thread Size,1/4 NPTF
1%20(506),206330,Length (in),2.25
1%20(509),216437,Length (in),1.135
1%20(512),250605,Tube Dia (in),0.25
1%20(515),250687,Thread Size,7/16-20 UNF SAE-4
1%20(516),250688,Thread Size,9/16-18 UNF SAE-6
1%20(521),250883,Thread Size,7/16-20 UNF SAE-4
1%20(525),252996,Thread Size,7/16-20 UNF
1%20(525),252996,Tube Dia (in),0.25
1%20(526),252997,Thread Size,9/16-18 UNF
1%20(526),252997,Tube Dia (in),0.375
1%20(527),252998,Thread Size,1/4 NPTF
1%20(528),252999,Thread Size,7/16-20 UNF
1%20(528),252999,Tube Dia (in),0.25
1%20(529),253000,Thread Size,9/16-18 UNF
1%20(529),253000,Tube Dia (in),0.375
1%20(53),500171,Thread Size,1/4 NPTF
1%20(53),500171,Length (in),1.349
1%20(530),253001,Thread Size,1/4 NPTF
1%20(531),253007,Thread Size,7/16-20 UNF
1%20(531),253007,Tube Dia (in),0.25
1%20(532),253008,Thread Size,9/16-18 UNF
1%20(532),253008,Tube Dia (in),0.375
1%20(533),253009,Tube Dia (in),0.25
1%20(534),253010,Tube Dia (in),0.375
1%20(535),253011,Tube Dia (in),0.375
1%20(536),253012,Tube Dia (in),0.375
1%20(537),253013,Tube Dia (in),0.375
1%20(538),253014,Tube Dia (in),0.25
1%20(539),253015,Tube Dia (in),0.25
1%20(54),500172,Thread Size,1/4 NPTF
1%20(54),500172,Length (in),1.259
1%20(540),253016,Tube Dia (in),0.375
1%20(541),253017,Tube Dia (in),0.375
1%20(542),253018,Tube Dia (in),0.375
1%20(543),253019,Tube Dia (in),0.25
1%20(544),253020,Tube Dia (in),0.25
1%20(545),253021,Tube Dia (in),0.375
1%20(546),253022,Tube Dia (in),0.25
1%20(547),253023,Tube Dia (in),0.25
1%20(548),253024,Tube Dia (in),0.25
1%20(549),253025,Tube Dia (in),0.375
1%20(55),500173,Thread Size,7/16-20 UNF SAE-4
1%20(55),500173,Length (in),1.431
1%20(550),253026,Tube Dia (in),0.375
1%20(551),253027,Tube Dia (in),0.375
1%20(552),253028,Tube Dia (in),0.25
1%20(553),253029,Tube Dia (in),0.25
1%20(554),253030,Tube Dia (in),0.25
1%20(555),253031,Tube Dia (in),0.375
1%20(556),253032,Thread Size,1/4 NPTF
1%20(556),253032,Tube Dia (in),0.25
1%20(557),253033,Thread Size,1/4 NPTF
1%20(557),253033,Tube Dia (in),0.375
1%20(558),253076,Tube Dia (in),0.25
1%20(559),253078,Thread Size,5/16-24 UNF
1%20(559),253078,Length (in),1
1%20(56),500174,Thread Size,7/16-20 UNF SAE-4
1%20(56),500174,Length (in),1.065
1%20(560),253174,Tube Dia (in),0.375
1%20(561),253175,Tube Dia (in),0.25
1%20(58),15066,Length (in),1.875
1%20(58),15066,Height (in),2.781
1%20(58),15066,Width (in),0.875
1%20(59),15068,Length (in),2.375
1%20(59),15068,Height (in),2.437
1%20(59),15068,Width (in),0.875
1%20(6),500177,Length (in),2.75
1%20(6),500177,Width (in),2.75
1%20(61),100984,Length (in),2.72
1%20(61),100984,Height (in),1.97
1%20(61),100984,Width (in),1
1%20(62),100985,Length (in),2.72
1%20(62),100985,Height (in),1.97
1%20(62),100985,Width (in),1
1%20(63),253605,Length (in),1.875
1%20(64),100991,Length (in),4.331
1%20(64),100991,Port Size,7/16-20UNF
1%20(65),100992,Length (in),4.331
1%20(65),100992,Port Size,7/16-20UNF
1%20(66),100993,Length (in),4.331
1%20(66),100993,Port Size,7/16-20UNF
1%20(67),100994,Length (in),4.331
1%20(67),100994,Port Size,7/16-20UNF
1%20(68),100995,Length (in),4.331
1%20(68),100995,Port Size,7/16-20UNF
1%20(69),100996,Length (in),4.331
1%20(69),100996,Port Size,7/16-20UNF
1%20(7),100179,Length (in),14.875
1%20(7),100179,Width (in),9.25
1%20(70),100997,Length (in),3.543
1%20(70),100997,Port Size,1/4 BSPP
1%20(70),100997,Height (in),2.441
1%20(70),100997,Width (in),1.968
1%20(83),58219,Length (in),10
1%20(83),58219,Port Size,38725
1%20(83),58219,Width (in),5
1%20(84),100174,Length (in),13.062
1%20(84),100174,Port Size,38721
1%20(84),100174,Width (in),6.125
1%20(85),100190,Length (in),13.062
1%20(85),100190,Port Size,38721
1%20(85),100190,Width (in),6.125
1%20(86),100191,Length (in),13.062
1%20(86),100191,Port Size,38721
1%20(86),100191,Width (in),6.125
1%20(87),100200,Length (in),14.25
1%20(87),100200,Port Size,38721
1%20(87),100200,Width (in),9.625
1%20(88),100280,Length (in),10
1%20(88),100280,Port Size,38721
1%20(88),100280,Width (in),5
1%20(89),100918,Length (in),10
1%20(89),100918,Port Size,38725
1%20(89),100918,Width (in),5
1%20(90),100920,Length (in),13.062
1%20(90),100920,Port Size,38721
1%20(90),100920,Width (in),6.125
1%20(91),100921,Length (in),10
1%20(91),100921,Port Size,38725
1%20(91),100921,Width (in),5
1%20(92),100922,Length (in),14.25
1%20(92),100922,Port Size,38721
1%20(92),100922,Width (in),9.625
1%20(93),100987,Length (in),10
1%20(93),100987,Port Size,38721
1%20(93),100987,Width (in),5
1%20(94),100114,Width (in),2.75
1%20(95),100127,Width (in),1.875
1%20(96),100839,Length (in),4
1%20(96),100839,Stroke Length (in),0.25
1%20(96),100839,Port Size,1/8 NPTF
1%20(96),100839,Width (in),2.19
1%20(97),100841,Stroke Length (in),1.163
1%20(98),100842,Stroke Length (in),1.163
1%20(99),100848,Stroke Length (in),1.938
1,100138,Length (in),5.508
1,100138,Port Size,1/4 NPT
