id,additional_description
5746049,"<p>UltraGuard Collection: Elasco Heavy Duty Five Channel Cable Guard with each channel offering 1.38 inches in channel width. Our Ultraguard collection offers an extra low profile and the unique Elasco feature of push buttons attached to lid to ensure extra lid closure and cable security. This 5 channel product also mates to the ADA Compliant version (UG5140-ADA) and is available with our 24 hour Glow in the Dark feature (UG5140-GLOW).</p><p>The UltraGuard collection is versatile across all industries. Ranging from light to heavy duty projects, it offers a low profile cable ramp designed for easy vehicle and pedestrian traffic. Offering 5 channel and the first ever 7 channel protector on the market, this collection features Elasco's exclusive lid design that enhances the safety of your product. The lid's push button fasteners ensure the lid is properly closed and secure at all times. This collection now offers ADA Compliant cable protectors.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746050,"<p>UltraGuard Collection: Elasco Heavy Duty Five Channel Cable Guard (UG5140) offers a 45 Degree Left turn to mate with the straight 3 foot section. Two 45 degree pieces can also connect to make a 90 degree turn. Our Ultraguard collection offers an extra low profile and the unique Elasco feature of push buttons attached to lid to ensure extra lid closure and cable security.</p><p>The UltraGuard collection is versatile across all industries. Ranging from light to heavy duty projects, it offers a low profile cable ramp designed for easy vehicle and pedestrian traffic. Offering 5 channel and the first ever 7 channel protector on the market, this collection features Elasco's exclusive lid design that enhances the safety of your product. The lid's push button fasteners ensure the lid is properly closed and secure at all times. This collection now offers ADA Compliant cable protectors.</p><p>Elasco Cable Ramps are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746051,"<p>UltraGuard Collection: Elasco Heavy Duty Five Channel Cable Guard (UG5140) offers a 45 Degree Right turn to mate with the straight 3 foot section. Two 45 degree pieces can also connect to make a 90 degree turn. Our Ultraguard collection offers an extra low profile and the unique Elasco feature of push buttons attached to lid to ensure extra lid closure and cable security.</p><p>The UltraGuard collection is versatile across all industries. Ranging from light to heavy duty projects, it offers a low profile cable ramp designed for easy vehicle and pedestrian traffic. Offering 5 channel and the first ever 7 channel protector on the market, this collection features Elasco's exclusive lid design that enhances the safety of your product. The lid's push button fasteners ensure the lid is properly closed and secure at all times. This collection now offers ADA Compliant cable protectors.</p><p>Elasco Cable Ramps are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746052,"<p>UltraGuard Collection: Elasco Heavy Duty Five Channel Cable Guard (UG5140) offers the Five Channel End Set (UG5140-ED) comes as a pair for male and female ends. Our Ultraguard collection offers an extra low profile and the unique Elasco feature of push buttons attached to lid to ensure extra lid closure and cable security.</p><p>The UltraGuard collection is versatile across all industries. Ranging from light to heavy duty projects, it offers a low profile cable ramp designed for easy vehicle and pedestrian traffic. Offering 5 channel and the first ever 7 channel protector on the market, this collection features Elasco's exclusive lid design that enhances the safety of your product. The lid's push button fasteners ensure the lid is properly closed and secure at all times. This collection now offers ADA Compliant cable protectors.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746053,"<p>Elasco's newest product as of February 2016. This is the only seven channel cable protector on the market, offering the same great quality of our 5 channel (UG5140) protector.</p><p>UltraGuard Collection: Elasco Heavy Duty Seven Channel Cable Guard with each channel offering 1.375 inches in channel width. Our Ultraguard collection offers an extra low profile and push buttons attached to lid to ensure extra lid closure and cable security. The UltraGuard collection is versatile across all industries. Ranging from light to heavy duty projects, it offers a low profile cable ramp designed for easy vehicle and pedestrian traffic. Offering 5 channel and the first ever 7 channel protector on the market, this collection features Elasco's exclusive lid design that enhances the safety of your product. The lid's push button fasteners ensure the lid is properly closed and secure at all times. This collection now offers ADA Compliant cable protectors.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746054,"<p>UltraGuard Collection: Elasco Heavy Duty Five Channel ADA Compliant Cable Guard with each channel offering 1.38 inches in channel width. Our Ultraguard collection offers an extra low profile and the unique Elasco feature of push buttons attached to lid to ensure extra lid closure and cable security. This 5 channel product also mates to the standard 5 channel UG5140 ramp and is also available with our 24 hour Glow in the Dark feature (UG5140-ADA-GLOW).</p><p>UltraGuard Collection: Elasco Heavy Duty Seven Channel Cable Guard with each channel offering 1.375 inches in channel width. Our Ultraguard collection offers an extra low profile and push buttons attached to lid to ensure extra lid closure and cable security. The UltraGuard collection is versatile across all industries. Ranging from light to heavy duty projects, it offers a low profile cable ramp designed for easy vehicle and pedestrian traffic. Offering 5 channel and the first ever 7 channel protector on the market, this collection features Elasco's exclusive lid design that enhances the safety of your product. The lid's push button fasteners ensure the lid is properly closed and secure at all times. This collection now offers ADA Compliant cable protectors.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746055,"<p>LiteGuard Collection: Elasco Light Duty One Channel Cable Guard offering 1 inch in channel width.</p><p>The LiteGuard collection offers 1"" to 1.38"" size channels. While smaller in size and weight, these products are still designed for significant load bearing strength. Commonly used in vehicle or pedestrian settings, the LiteGuard collection provides invaluable protection.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746056,"<p>LiteGuard Collection: Elasco Light Duty Two Channel Cable Guard offering 1.25 inches in channel width.</p><p>The LiteGuard collection offers 1"" to 1.38"" size channels. While smaller in size and weight, these products are still designed for significant load bearing strength. Commonly used in vehicle or pedestrian settings, the LiteGuard collection provides invaluable protection.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746057,"<p>LiteGuard Collection: Elasco Light Duty Two Channel Cable Guard (LG2125) offers the Thwo Channel End Set (LG2125-ED) comes as a pair for male and female ends.</p><p>The LiteGuard collection offers 1"" to 1.38"" size channels. While smaller in size and weight, these products are still designed for significant load bearing strength. Commonly used in vehicle or pedestrian settings, the LiteGuard collection provides invaluable protection.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746058,"<p>LiteGuard Collection: Elasco Light Duty Three Channel Cable Guard offering 1.25 inches in channel width.</p><p>The LiteGuard collection offers 1"" to 1.38"" size channels. While smaller in size and weight, these products are still designed for significant load bearing strength. Commonly used in vehicle or pedestrian settings, the LiteGuard collection provides invaluable protection.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746059,"<p>LiteGuard Collection: Elasco Light Duty Three Channel Cable Guard (LG3125) offers the Three Channel End Set (LG3125-ED) comes as a pair for male and female ends.</p><p>The LiteGuard collection offers 1"" to 1.38"" size channels. While smaller in size and weight, these products are still designed for significant load bearing strength. Commonly used in vehicle or pedestrian settings, the LiteGuard collection provides invaluable protection.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746060,"<p>LiteGuard Collection: Elasco Light Duty Five Channel Cable Guard offering 1.25 inches in channel width.</p><p>The LiteGuard collection offers 1"" to 1.38"" size channels. While smaller in size and weight, these products are still designed for significant load bearing strength. Commonly used in vehicle or pedestrian settings, the LiteGuard collection provides invaluable protection.</p><p>Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs. Backed by a lifetime warranty and offering premium material characteristics, our products are all Made in USA. We provide a basic solution to a basic problem. Whether it be pedestrian or vehicle traffic we help maneuver from one side of cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746061,"<p>MightyGuard Collection: Elasco Heavy Duty One Channel Cable Guard offering 2 inches in channel width.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746062,"<p>MightyGuard Collection: Elasco Heavy Duty Three Channel Cable Guard offering 2 inches in channel width.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746063,"<p>MightyGuard Collection: Elasco Heavy Duty Two Channel Cable Guard offering 2 inches in channel width.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746064,"<p>MightyGuard Collection: Elasco Heavy Duty Two Channel Cable Guard offering 2 inches in channel width.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746065,"<p>MightyGuard Collection: Elasco Heavy Duty Two Channel Cable Guard offering 2 inches in channel width. Offered with extra wide ramps for ADA Compliance.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746066,"<p>MightyGuard Collection: Elasco Heavy Duty Three Channel Cable Guard offering 2 inches in channel width.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
5746067,"<p>MightyGuard Collection: Elasco Heavy Duty Three Channel X-Intersection Cable Guard offering 2 inches in channel width.</p><p>This Heavy Duty collection offers 2"" and 3"" size channels. Products are available in multiple channel options including turns and end caps. The MightyGuard collection focuses on protecting larger size cables and hoses from heavy duty vehicle traffic. All lids offer a snap down feature to safely keep the lid down and secured to the base of the product. Elasco Cable Guards are constructed with a solid cast polyurethane base and lid that are connected by a reinforced fiberglass rod that won't rust or corrode. Our products hold up against natural and man-made elements and are compliant with safety requirements. With easy transportation and simple installation, our products can be configured to meet your needs.</p><p>Made in the the USA and offered with a limited lifetime warranty, all our products are made using only the most premium materials. We provide safe solution to your cable management needs by protecting your asset and ensuring safe vehicle and pedestrian traffic. Our cable protectors help you maneuver from one side of your cables to the other side while keeping your cables absolutely safe. No matter the weight of your cargo, we will help you get to your destination in a safe and efficient manner.</p>"
